[04:24:54] 全新镜像解压（干净 e2e）
[04:25:11] QEMU 启动 pid=685
[04:25:11] t=0min HA=307 门户title=[<title>Home Assistant]
[04:26:11] t=1min HA=307 门户title=[<title>Home Assistant]
[04:27:11] t=2min HA=307 门户title=[<title>Home Assistant]
[04:28:11] t=3min HA=307 门户title=[<title>Home Assistant]
[04:29:11] t=4min HA=307 门户title=[<title>Home Assistant]
[04:30:11] t=5min HA=307 门户title=[<title>Home Assistant]
[04:31:11] t=6min HA=307 门户title=[<title>Home Assistant]
[04:32:11] t=7min HA=307 门户title=[<title>Home Assistant]
[04:33:11] t=8min HA=307 门户title=[<title>Home Assistant]
[04:34:11] t=9min HA=307 门户title=[<title>Home Assistant]
[04:35:11] t=10min HA=307 门户title=[<title>Home Assistant]
[04:36:11] t=11min HA=307 门户title=[<title>Home Assistant]
[04:37:11] t=12min HA=307 门户title=[<title>Home Assistant]
[04:38:11] t=13min HA=307 门户title=[<title>Home Assistant]
[04:39:11] t=14min HA=307 门户title=[<title>Home Assistant]
[04:40:11] t=15min HA=307 门户title=[<title>Home Assistant]
[04:41:11] t=16min HA=307 门户title=[<title>Home Assistant]
[04:42:11] t=17min HA=307 门户title=[<title>Home Assistant]
[04:43:11] t=18min HA=307 门户title=[<title>Home Assistant]
[04:44:11] t=19min HA=307 门户title=[<title>Home Assistant]
[04:45:12] t=20min HA=307 门户title=[<title>Home Assistant]
[04:46:12] t=21min HA=307 门户title=[<title>Home Assistant]
[04:47:12] t=22min HA=307 门户title=[<title>Home Assistant]
[04:48:12] t=23min HA=307 门户title=[<title>Home Assistant]
[04:49:12] t=24min HA=307 门户title=[<title>Home Assistant]
[04:50:12] t=25min HA=307 门户title=[<title>Home Assistant]
[04:51:12] t=26min HA=307 门户title=[<title>Home Assistant]
[04:52:12] t=27min HA=307 门户title=[<title>Home Assistant]
[04:53:12] t=28min HA=307 门户title=[<title>Home Assistant]
[04:54:12] t=29min HA=307 门户title=[<title>Home Assistant]
[04:55:12] t=30min HA=307 门户title=[<title>Home Assistant]
[04:56:12] t=31min HA=307 门户title=[<title>Home Assistant]
[04:57:12] t=32min HA=307 门户title=[<title>Home Assistant]
[04:58:12] t=33min HA=307 门户title=[<title>Home Assistant]
[04:59:12] t=34min HA=307 门户title=[<title>Home Assistant]
[05:00:12] t=35min HA=307 门户title=[<title>Home Assistant]
[05:01:12] t=36min HA=307 门户title=[<title>Home Assistant]
[05:02:12] t=37min HA=307 门户title=[<title>Home Assistant]
[05:03:12] t=38min HA=307 门户title=[<title>Home Assistant]
[05:04:12] t=39min HA=307 门户title=[<title>Home Assistant]
[05:05:12] t=40min HA=307 门户title=[<title>Home Assistant]
[05:06:12] t=41min HA=307 门户title=[<title>Home Assistant]
[05:07:12] t=42min HA=307 门户title=[<title>Home Assistant]
[05:08:12] t=43min HA=307 门户title=[<title>Home Assistant]
[05:09:13] t=44min HA=307 门户title=[<title>Home Assistant]
[05:10:13] t=45min HA=307 门户title=[<title>Home Assistant]
[05:11:13] t=46min HA=307 门户title=[<title>Home Assistant]
[05:12:13] t=47min HA=307 门户title=[<title>Home Assistant]
[05:13:13] t=48min HA=307 门户title=[<title>Home Assistant]
[05:14:13] t=49min HA=307 门户title=[<title>Home Assistant]
[05:15:13] t=50min HA=307 门户title=[<title>Home Assistant]
[05:16:13] t=51min HA=307 门户title=[<title>Home Assistant]
[05:17:13] t=52min HA=307 门户title=[<title>Home Assistant]
[05:18:13] t=53min HA=307 门户title=[<title>Home Assistant]
[05:19:13] t=54min HA=307 门户title=[<title>Home Assistant]
[05:20:13] t=55min HA=307 门户title=[<title>Home Assistant]
[05:21:13] t=56min HA=307 门户title=[<title>Home Assistant]
[05:22:13] t=57min HA=307 门户title=[<title>Home Assistant]
[05:23:13] t=58min HA=307 门户title=[<title>Home Assistant]
[05:24:13] t=59min HA=307 门户title=[<title>Home Assistant]
[05:25:13] t=60min HA=307 门户title=[<title>Home Assistant]
[05:26:13] t=61min HA=307 门户title=[<title>Home Assistant]
[05:27:13] t=62min HA=307 门户title=[<title>Home Assistant]
[05:28:13] t=63min HA=307 门户title=[<title>Home Assistant]
[05:29:13] t=64min HA=307 门户title=[<title>Home Assistant]
[05:30:13] t=65min HA=307 门户title=[<title>Home Assistant]
[05:31:13] t=66min HA=307 门户title=[<title>Home Assistant]
[05:32:14] t=67min HA=307 门户title=[<title>Home Assistant]
[05:33:14] t=68min HA=307 门户title=[<title>Home Assistant]
[05:34:14] t=69min HA=307 门户title=[<title>Home Assistant]
[05:35:14] t=70min HA=307 门户title=[<title>Home Assistant]
[05:36:14] t=71min HA=307 门户title=[<title>Home Assistant]
[05:37:14] t=72min HA=307 门户title=[<title>Home Assistant]
[05:38:14] t=73min HA=307 门户title=[<title>Home Assistant]
[05:39:14] t=74min HA=307 门户title=[<title>Home Assistant]
[05:40:14] t=75min HA=307 门户title=[<title>Home Assistant]
[05:41:14] t=76min HA=307 门户title=[<title>Home Assistant]
[05:42:14] t=77min HA=307 门户title=[<title>Home Assistant]
[05:43:14] t=78min HA=307 门户title=[<title>Home Assistant]
[05:44:14] t=79min HA=307 门户title=[<title>Home Assistant]
[05:45:14] t=80min HA=307 门户title=[<title>Home Assistant]
[05:46:14] t=81min HA=307 门户title=[<title>Home Assistant]
[05:47:14] t=82min HA=307 门户title=[<title>Home Assistant]
[05:48:14] t=83min HA=307 门户title=[<title>Home Assistant]
[05:49:14] t=84min HA=307 门户title=[<title>Home Assistant]
[05:50:14] t=85min HA=307 门户title=[<title>Home Assistant]
[05:51:14] t=86min HA=307 门户title=[<title>Home Assistant]
[05:52:14] t=87min HA=307 门户title=[<title>Home Assistant]
[05:53:14] t=88min HA=307 门户title=[<title>Home Assistant]
[05:54:15] t=89min HA=307 门户title=[<title>Home Assistant]
[05:55:15] t=90min HA=307 门户title=[<title>Home Assistant]
[05:56:15] t=91min HA=307 门户title=[<title>Home Assistant]
[05:57:15] t=92min HA=307 门户title=[<title>Home Assistant]
[05:58:15] t=93min HA=307 门户title=[<title>Home Assistant]
[05:59:15] t=94min HA=307 门户title=[<title>Home Assistant]
[06:00:15] t=95min HA=307 门户title=[<title>Home Assistant]
[06:01:15] t=96min HA=307 门户title=[<title>Home Assistant]
[06:02:15] t=97min HA=307 门户title=[<title>Home Assistant]
[06:03:15] t=98min HA=307 门户title=[<title>Home Assistant]
[06:04:15] t=99min HA=307 门户title=[<title>Home Assistant]
[06:05:16] t=100min HA=307 门户title=[<title>Home Assistant]
[06:06:16] t=101min HA=307 门户title=[<title>Home Assistant]
[06:07:16] t=102min HA=307 门户title=[<title>Home Assistant]
[06:08:16] t=103min HA=307 门户title=[<title>Home Assistant]
[06:09:16] t=104min HA=307 门户title=[<title>Home Assistant]
[06:10:16] t=105min HA=307 门户title=[<title>Home Assistant]
[06:11:16] t=106min HA=307 门户title=[<title>Home Assistant]
[06:12:16] t=107min HA=307 门户title=[<title>Home Assistant]
[06:13:16] t=108min HA=307 门户title=[<title>Home Assistant]
[06:14:16] t=109min HA=307 门户title=[<title>Home Assistant]
[06:15:16] t=110min HA=307 门户title=[<title>Home Assistant]
[06:16:16] t=111min HA=307 门户title=[<title>Home Assistant]
[06:17:16] t=112min HA=307 门户title=[<title>Home Assistant]
[06:18:16] t=113min HA=307 门户title=[<title>Home Assistant]
[06:19:16] t=114min HA=307 门户title=[<title>Home Assistant]
[06:20:16] t=115min HA=307 门户title=[<title>Home Assistant]
[06:21:16] t=116min HA=307 门户title=[<title>Home Assistant]
[06:22:16] t=117min HA=307 门户title=[<title>Home Assistant]
[06:23:16] t=118min HA=307 门户title=[<title>Home Assistant]
[06:24:16] t=119min HA=307 门户title=[<title>Home Assistant]
[06:25:16] t=120min HA=307 门户title=[<title>Home Assistant]
[06:26:16] t=121min HA=307 门户title=[<title>Home Assistant]
[06:27:16] t=122min HA=307 门户title=[<title>Home Assistant]
[06:28:17] t=123min HA=307 门户title=[<title>Home Assistant]
[06:29:17] t=124min HA=307 门户title=[<title>Home Assistant]
[06:30:18] t=125min HA=307 门户title=[<title>Home Assistant]
[06:31:19] t=126min HA=307 门户title=[<title>Home Assistant]
[06:32:19] t=127min HA=307 门户title=[<title>Home Assistant]
[06:33:20] t=128min HA=307 门户title=[<title>Home Assistant]
[06:34:20] t=129min HA=307 门户title=[<title>Home Assistant]
[06:35:20] t=130min HA=307 门户title=[<title>Home Assistant]
[06:36:20] t=131min HA=307 门户title=[<title>Home Assistant]
[06:37:20] t=132min HA=307 门户title=[<title>Home Assistant]
[06:38:20] t=133min HA=307 门户title=[<title>Home Assistant]
[06:39:20] t=134min HA=307 门户title=[<title>Home Assistant]
[06:40:20] t=135min HA=307 门户title=[<title>Home Assistant]
[06:41:20] t=136min HA=307 门户title=[<title>Home Assistant]
[06:42:20] t=137min HA=307 门户title=[<title>Home Assistant]
[06:43:20] t=138min HA=307 门户title=[<title>Home Assistant]
[06:44:20] t=139min HA=307 门户title=[<title>Home Assistant]
[06:45:20] t=140min HA=307 门户title=[<title>Home Assistant]
[06:46:21] t=141min HA=307 门户title=[<title>Home Assistant]
[06:47:22] t=142min HA=307 门户title=[<title>Home Assistant]
[06:48:23] t=143min HA=307 门户title=[<title>Home Assistant]
[06:49:23] t=144min HA=307 门户title=[<title>Home Assistant]
[06:50:24] t=145min HA=307 门户title=[<title>Home Assistant]
[06:51:25] t=146min HA=307 门户title=[<title>Home Assistant]
[06:52:26] t=147min HA=307 门户title=[<title>Home Assistant]
[06:53:26] t=148min HA=307 门户title=[<title>Home Assistant]
[06:54:27] t=149min HA=307 门户title=[<title>Home Assistant]
[06:55:28] t=150min HA=307 门户title=[<title>Home Assistant]
[06:56:29] t=151min HA=307 门户title=[<title>Home Assistant]
[06:56:29] 150min 窗口结束，向导未上线
[06:56:29] watch2 退出
[12:21:31] 全新镜像解压（干净 e2e）
[12:21:48] QEMU 启动 pid=420
[12:21:48] t=0min HA=000 门户title=[]
[12:22:48] t=1min HA=000 门户title=[]
[12:23:48] t=2min HA=302 门户title=[]
[12:24:48] t=3min HA=302 门户title=[]
[12:25:48] t=4min HA=302 门户title=[]
[12:26:48] t=5min HA=302 门户title=[]
[12:27:48] t=6min HA=307 门户title=[]
[12:28:48] t=7min HA=307 门户title=[]
[12:29:48] t=8min HA=307 门户title=[]
[12:30:49] t=9min HA=307 门户title=[]
[12:31:49] t=10min HA=307 门户title=[]
[12:32:49] t=11min HA=307 门户title=[]
[12:33:49] t=12min HA=307 门户title=[]
[12:34:49] t=13min HA=307 门户title=[]
[12:35:49] t=14min HA=307 门户title=[]
[12:36:49] t=15min HA=307 门户title=[]
[12:37:49] t=16min HA=307 门户title=[]
[12:38:49] t=17min HA=307 门户title=[]
[12:39:49] t=18min HA=307 门户title=[]
[12:40:49] t=19min HA=307 门户title=[]
[12:41:49] t=20min HA=307 门户title=[]
[12:42:49] t=21min HA=307 门户title=[]
[12:43:49] t=22min HA=307 门户title=[]
[12:44:49] t=23min HA=307 门户title=[]
[12:45:49] t=24min HA=307 门户title=[]
[12:46:49] t=25min HA=307 门户title=[]
[12:47:49] t=26min HA=307 门户title=[]
[12:48:49] t=27min HA=307 门户title=[]
[12:49:49] t=28min HA=307 门户title=[]
[12:50:49] !! QEMU 死亡 t=29min err:qemu-system-aarch64: terminating on signal 15 from pid 1140 (pkill)
[12:50:49] QEMU 启动 pid=1151
[12:51:19] t=29min HA=000 门户title=[]
[12:52:20] t=30min HA=000 门户title=[]
[12:53:20] t=31min HA=307 门户title=[]
[12:54:20] t=32min HA=307 门户title=[]
[12:55:21] t=33min HA=307 门户title=[]
[12:56:22] t=34min HA=307 门户title=[]
[12:57:23] t=35min HA=307 门户title=[]
[12:58:24] t=36min HA=307 门户title=[]
[12:59:24] t=37min HA=307 门户title=[]
[13:00:25] t=38min HA=307 门户title=[]
[13:01:26] t=39min HA=307 门户title=[]
[13:02:27] t=40min HA=307 门户title=[]
[13:03:28] t=41min HA=307 门户title=[]
[13:04:29] t=42min HA=307 门户title=[]
