[04:24:54] 全新镜像解压（干净 e2e）
[04:25:11] QEMU 启动 pid=685
[04:25:11] t=0min HA=307 门户title=[<title>Home Assistant]
[04:26:11] t=1min HA=307 门户title=[<title>Home Assistant]
[04:27:11] t=2min HA=307 门户title=[<title>Home Assistant]
[04:28:11] t=3min HA=307 门户title=[<title>Home Assistant]
[04:29:11] t=4min HA=307 门户title=[<title>Home Assistant]
[04:30:11] t=5min HA=307 门户title=[<title>Home Assistant]
[04:31:11] t=6min HA=307 门户title=[<title>Home Assistant]
[04:32:11] t=7min HA=307 门户title=[<title>Home Assistant]
[04:33:11] t=8min HA=307 门户title=[<title>Home Assistant]
[04:34:11] t=9min HA=307 门户title=[<title>Home Assistant]
[04:35:11] t=10min HA=307 门户title=[<title>Home Assistant]
[04:36:11] t=11min HA=307 门户title=[<title>Home Assistant]
[04:37:11] t=12min HA=307 门户title=[<title>Home Assistant]
[04:38:11] t=13min HA=307 门户title=[<title>Home Assistant]
[04:39:11] t=14min HA=307 门户title=[<title>Home Assistant]
[04:40:11] t=15min HA=307 门户title=[<title>Home Assistant]
[04:41:11] t=16min HA=307 门户title=[<title>Home Assistant]
[04:42:11] t=17min HA=307 门户title=[<title>Home Assistant]
[04:43:11] t=18min HA=307 门户title=[<title>Home Assistant]
[04:44:11] t=19min HA=307 门户title=[<title>Home Assistant]
[04:45:12] t=20min HA=307 门户title=[<title>Home Assistant]
[04:46:12] t=21min HA=307 门户title=[<title>Home Assistant]
[04:47:12] t=22min HA=307 门户title=[<title>Home Assistant]
[04:48:12] t=23min HA=307 门户title=[<title>Home Assistant]
[04:49:12] t=24min HA=307 门户title=[<title>Home Assistant]
[04:50:12] t=25min HA=307 门户title=[<title>Home Assistant]
[04:51:12] t=26min HA=307 门户title=[<title>Home Assistant]
[04:52:12] t=27min HA=307 门户title=[<title>Home Assistant]
[04:53:12] t=28min HA=307 门户title=[<title>Home Assistant]
[04:54:12] t=29min HA=307 门户title=[<title>Home Assistant]
[04:55:12] t=30min HA=307 门户title=[<title>Home Assistant]
[04:56:12] t=31min HA=307 门户title=[<title>Home Assistant]
[04:57:12] t=32min HA=307 门户title=[<title>Home Assistant]
[04:58:12] t=33min HA=307 门户title=[<title>Home Assistant]
[04:59:12] t=34min HA=307 门户title=[<title>Home Assistant]
[05:00:12] t=35min HA=307 门户title=[<title>Home Assistant]
[05:01:12] t=36min HA=307 门户title=[<title>Home Assistant]
[05:02:12] t=37min HA=307 门户title=[<title>Home Assistant]
[05:03:12] t=38min HA=307 门户title=[<title>Home Assistant]
[05:04:12] t=39min HA=307 门户title=[<title>Home Assistant]
[05:05:12] t=40min HA=307 门户title=[<title>Home Assistant]
[05:06:12] t=41min HA=307 门户title=[<title>Home Assistant]
[05:07:12] t=42min HA=307 门户title=[<title>Home Assistant]
[05:08:12] t=43min HA=307 门户title=[<title>Home Assistant]
[05:09:13] t=44min HA=307 门户title=[<title>Home Assistant]
[05:10:13] t=45min HA=307 门户title=[<title>Home Assistant]
[05:11:13] t=46min HA=307 门户title=[<title>Home Assistant]
[05:12:13] t=47min HA=307 门户title=[<title>Home Assistant]
[05:13:13] t=48min HA=307 门户title=[<title>Home Assistant]
[05:14:13] t=49min HA=307 门户title=[<title>Home Assistant]
[05:15:13] t=50min HA=307 门户title=[<title>Home Assistant]
[05:16:13] t=51min HA=307 门户title=[<title>Home Assistant]
[05:17:13] t=52min HA=307 门户title=[<title>Home Assistant]
[05:18:13] t=53min HA=307 门户title=[<title>Home Assistant]
[05:19:13] t=54min HA=307 门户title=[<title>Home Assistant]
[05:20:13] t=55min HA=307 门户title=[<title>Home Assistant]
[05:21:13] t=56min HA=307 门户title=[<title>Home Assistant]
[05:22:13] t=57min HA=307 门户title=[<title>Home Assistant]
[05:23:13] t=58min HA=307 门户title=[<title>Home Assistant]
[05:24:13] t=59min HA=307 门户title=[<title>Home Assistant]
[05:25:13] t=60min HA=307 门户title=[<title>Home Assistant]
[05:26:13] t=61min HA=307 门户title=[<title>Home Assistant]
[05:27:13] t=62min HA=307 门户title=[<title>Home Assistant]
[05:28:13] t=63min HA=307 门户title=[<title>Home Assistant]
[05:29:13] t=64min HA=307 门户title=[<title>Home Assistant]
[05:30:13] t=65min HA=307 门户title=[<title>Home Assistant]
[05:31:13] t=66min HA=307 门户title=[<title>Home Assistant]
[05:32:14] t=67min HA=307 门户title=[<title>Home Assistant]
[05:33:14] t=68min HA=307 门户title=[<title>Home Assistant]
[05:34:14] t=69min HA=307 门户title=[<title>Home Assistant]
[05:35:14] t=70min HA=307 门户title=[<title>Home Assistant]
[05:36:14] t=71min HA=307 门户title=[<title>Home Assistant]
[05:37:14] t=72min HA=307 门户title=[<title>Home Assistant]
[05:38:14] t=73min HA=307 门户title=[<title>Home Assistant]
[05:39:14] t=74min HA=307 门户title=[<title>Home Assistant]
[05:40:14] t=75min HA=307 门户title=[<title>Home Assistant]
[05:41:14] t=76min HA=307 门户title=[<title>Home Assistant]
[05:42:14] t=77min HA=307 门户title=[<title>Home Assistant]
[05:43:14] t=78min HA=307 门户title=[<title>Home Assistant]
[05:44:14] t=79min HA=307 门户title=[<title>Home Assistant]
[05:45:14] t=80min HA=307 门户title=[<title>Home Assistant]
[05:46:14] t=81min HA=307 门户title=[<title>Home Assistant]
[05:47:14] t=82min HA=307 门户title=[<title>Home Assistant]
[05:48:14] t=83min HA=307 门户title=[<title>Home Assistant]
[05:49:14] t=84min HA=307 门户title=[<title>Home Assistant]
[05:50:14] t=85min HA=307 门户title=[<title>Home Assistant]
[05:51:14] t=86min HA=307 门户title=[<title>Home Assistant]
[05:52:14] t=87min HA=307 门户title=[<title>Home Assistant]
[05:53:14] t=88min HA=307 门户title=[<title>Home Assistant]
[05:54:15] t=89min HA=307 门户title=[<title>Home Assistant]
[05:55:15] t=90min HA=307 门户title=[<title>Home Assistant]
[05:56:15] t=91min HA=307 门户title=[<title>Home Assistant]
[05:57:15] t=92min HA=307 门户title=[<title>Home Assistant]
[05:58:15] t=93min HA=307 门户title=[<title>Home Assistant]
[05:59:15] t=94min HA=307 门户title=[<title>Home Assistant]
[06:00:15] t=95min HA=307 门户title=[<title>Home Assistant]
[06:01:15] t=96min HA=307 门户title=[<title>Home Assistant]
[06:02:15] t=97min HA=307 门户title=[<title>Home Assistant]
[06:03:15] t=98min HA=307 门户title=[<title>Home Assistant]
[06:04:15] t=99min HA=307 门户title=[<title>Home Assistant]
[06:05:16] t=100min HA=307 门户title=[<title>Home Assistant]
[06:06:16] t=101min HA=307 门户title=[<title>Home Assistant]
[06:07:16] t=102min HA=307 门户title=[<title>Home Assistant]
[06:08:16] t=103min HA=307 门户title=[<title>Home Assistant]
[06:09:16] t=104min HA=307 门户title=[<title>Home Assistant]
[06:10:16] t=105min HA=307 门户title=[<title>Home Assistant]
[06:11:16] t=106min HA=307 门户title=[<title>Home Assistant]
[06:12:16] t=107min HA=307 门户title=[<title>Home Assistant]
[06:13:16] t=108min HA=307 门户title=[<title>Home Assistant]
[06:14:16] t=109min HA=307 门户title=[<title>Home Assistant]
[06:15:16] t=110min HA=307 门户title=[<title>Home Assistant]
[06:16:16] t=111min HA=307 门户title=[<title>Home Assistant]
[06:17:16] t=112min HA=307 门户title=[<title>Home Assistant]
[06:18:16] t=113min HA=307 门户title=[<title>Home Assistant]
[06:19:16] t=114min HA=307 门户title=[<title>Home Assistant]
[06:20:16] t=115min HA=307 门户title=[<title>Home Assistant]
[06:21:16] t=116min HA=307 门户title=[<title>Home Assistant]
[06:22:16] t=117min HA=307 门户title=[<title>Home Assistant]
[06:23:16] t=118min HA=307 门户title=[<title>Home Assistant]
[06:24:16] t=119min HA=307 门户title=[<title>Home Assistant]
[06:25:16] t=120min HA=307 门户title=[<title>Home Assistant]
[06:26:16] t=121min HA=307 门户title=[<title>Home Assistant]
[06:27:16] t=122min HA=307 门户title=[<title>Home Assistant]
[06:28:17] t=123min HA=307 门户title=[<title>Home Assistant]
[06:29:17] t=124min HA=307 门户title=[<title>Home Assistant]
[06:30:18] t=125min HA=307 门户title=[<title>Home Assistant]
[06:31:19] t=126min HA=307 门户title=[<title>Home Assistant]
[06:32:19] t=127min HA=307 门户title=[<title>Home Assistant]
[06:33:20] t=128min HA=307 门户title=[<title>Home Assistant]
[06:34:20] t=129min HA=307 门户title=[<title>Home Assistant]
[06:35:20] t=130min HA=307 门户title=[<title>Home Assistant]
[06:36:20] t=131min HA=307 门户title=[<title>Home Assistant]
[06:37:20] t=132min HA=307 门户title=[<title>Home Assistant]
[06:38:20] t=133min HA=307 门户title=[<title>Home Assistant]
[06:39:20] t=134min HA=307 门户title=[<title>Home Assistant]
[06:40:20] t=135min HA=307 门户title=[<title>Home Assistant]
[06:41:20] t=136min HA=307 门户title=[<title>Home Assistant]
[06:42:20] t=137min HA=307 门户title=[<title>Home Assistant]
[06:43:20] t=138min HA=307 门户title=[<title>Home Assistant]
[06:44:20] t=139min HA=307 门户title=[<title>Home Assistant]
[06:45:20] t=140min HA=307 门户title=[<title>Home Assistant]
[06:46:21] t=141min HA=307 门户title=[<title>Home Assistant]
[06:47:22] t=142min HA=307 门户title=[<title>Home Assistant]
[06:48:23] t=143min HA=307 门户title=[<title>Home Assistant]
[06:49:23] t=144min HA=307 门户title=[<title>Home Assistant]
[06:50:24] t=145min HA=307 门户title=[<title>Home Assistant]
[06:51:25] t=146min HA=307 门户title=[<title>Home Assistant]
[06:52:26] t=147min HA=307 门户title=[<title>Home Assistant]
[06:53:26] t=148min HA=307 门户title=[<title>Home Assistant]
[06:54:27] t=149min HA=307 门户title=[<title>Home Assistant]
[06:55:28] t=150min HA=307 门户title=[<title>Home Assistant]
[06:56:29] t=151min HA=307 门户title=[<title>Home Assistant]
[06:56:29] 150min 窗口结束，向导未上线
[06:56:29] watch2 退出
[12:21:31] 全新镜像解压（干净 e2e）
[12:21:48] QEMU 启动 pid=420
[12:21:48] t=0min HA=000 门户title=[]
[12:22:48] t=1min HA=000 门户title=[]
[12:23:48] t=2min HA=302 门户title=[]
[12:24:48] t=3min HA=302 门户title=[]
[12:25:48] t=4min HA=302 门户title=[]
[12:26:48] t=5min HA=302 门户title=[]
[12:27:48] t=6min HA=307 门户title=[]
[12:28:48] t=7min HA=307 门户title=[]
[12:29:48] t=8min HA=307 门户title=[]
[12:30:49] t=9min HA=307 门户title=[]
[12:31:49] t=10min HA=307 门户title=[]
[12:32:49] t=11min HA=307 门户title=[]
[12:33:49] t=12min HA=307 门户title=[]
[12:34:49] t=13min HA=307 门户title=[]
[12:35:49] t=14min HA=307 门户title=[]
[12:36:49] t=15min HA=307 门户title=[]
[12:37:49] t=16min HA=307 门户title=[]
[12:38:49] t=17min HA=307 门户title=[]
[12:39:49] t=18min HA=307 门户title=[]
[12:40:49] t=19min HA=307 门户title=[]
[12:41:49] t=20min HA=307 门户title=[]
[12:42:49] t=21min HA=307 门户title=[]
[12:43:49] t=22min HA=307 门户title=[]
[12:44:49] t=23min HA=307 门户title=[]
[12:45:49] t=24min HA=307 门户title=[]
[12:46:49] t=25min HA=307 门户title=[]
[12:47:49] t=26min HA=307 门户title=[]
[12:48:49] t=27min HA=307 门户title=[]
[12:49:49] t=28min HA=307 门户title=[]
[12:50:49] !! QEMU 死亡 t=29min err:qemu-system-aarch64: terminating on signal 15 from pid 1140 (pkill)
[12:50:49] QEMU 启动 pid=1151
[12:51:19] t=29min HA=000 门户title=[]
[12:52:20] t=30min HA=000 门户title=[]
[12:53:20] t=31min HA=307 门户title=[]
[12:54:20] t=32min HA=307 门户title=[]
[12:55:21] t=33min HA=307 门户title=[]
[12:56:22] t=34min HA=307 门户title=[]
[12:57:23] t=35min HA=307 门户title=[]
[12:58:24] t=36min HA=307 门户title=[]
[12:59:24] t=37min HA=307 门户title=[]
[13:00:25] t=38min HA=307 门户title=[]
[13:01:26] t=39min HA=307 门户title=[]
[13:02:27] t=40min HA=307 门户title=[]
[13:03:28] t=41min HA=307 门户title=[]
[13:04:29] t=42min HA=307 门户title=[]
[13:05:30] t=43min HA=307 门户title=[]
[13:06:31] t=44min HA=307 门户title=[]
[13:07:32] t=45min HA=307 门户title=[]
[13:08:33] t=46min HA=307 门户title=[]
[13:09:34] t=47min HA=307 门户title=[]
[13:10:34] t=48min HA=307 门户title=[]
[13:11:35] t=49min HA=307 门户title=[]
[13:12:35] t=50min HA=307 门户title=[]
[13:13:35] t=51min HA=307 门户title=[]
[13:14:35] t=52min HA=307 门户title=[]
[13:15:35] t=53min HA=307 门户title=[]
[13:16:35] t=54min HA=307 门户title=[]
[13:17:36] t=55min HA=307 门户title=[]
[13:18:36] t=56min HA=307 门户title=[]
[13:19:36] t=57min HA=307 门户title=[]
[13:20:36] t=58min HA=307 门户title=[]
[13:21:36] t=59min HA=307 门户title=[]
[13:22:36] t=60min HA=307 门户title=[]
[13:23:36] t=61min HA=307 门户title=[]
[13:24:36] t=62min HA=307 门户title=[]
[13:25:36] t=63min HA=307 门户title=[]
[13:26:36] t=64min HA=307 门户title=[]
[13:27:36] t=65min HA=307 门户title=[]
[13:28:36] t=66min HA=307 门户title=[]
[13:29:37] t=67min HA=307 门户title=[]
[13:30:37] t=68min HA=307 门户title=[]
[13:31:37] t=69min HA=307 门户title=[]
[13:32:38] t=70min HA=307 门户title=[]
[13:33:39] t=71min HA=307 门户title=[]
[13:34:39] t=72min HA=307 门户title=[]
[13:35:40] t=73min HA=307 门户title=[]
[13:36:42] t=74min HA=307 门户title=[]
[13:37:42] t=75min HA=307 门户title=[]
[13:38:43] t=76min HA=307 门户title=[]
[13:39:44] t=77min HA=307 门户title=[]
[13:40:45] t=78min HA=307 门户title=[]
[13:41:46] t=79min HA=307 门户title=[]
[13:42:47] t=80min HA=307 门户title=[]
[13:43:48] t=82min HA=307 门户title=[]
[13:44:49] t=83min HA=307 门户title=[]
[13:45:49] t=84min HA=307 门户title=[]
[13:46:51] t=85min HA=307 门户title=[]
[13:47:52] t=86min HA=307 门户title=[]
[13:48:52] t=87min HA=307 门户title=[]
[13:49:53] t=88min HA=307 门户title=[]
[13:50:55] t=89min HA=307 门户title=[]
[13:51:56] t=90min HA=307 门户title=[]
[13:52:57] t=91min HA=307 门户title=[]
[13:53:58] t=92min HA=307 门户title=[]
[13:54:59] t=93min HA=307 门户title=[]
[13:56:00] t=94min HA=307 门户title=[]
[13:57:01] t=95min HA=307 门户title=[]
[13:58:02] t=96min HA=307 门户title=[]
[13:59:03] t=97min HA=307 门户title=[]
[14:00:04] t=98min HA=307 门户title=[]
[14:01:06] t=99min HA=307 门户title=[]
[14:02:06] t=100min HA=307 门户title=[]
[14:03:07] t=101min HA=307 门户title=[]
[14:04:08] t=102min HA=307 门户title=[]
[14:05:10] t=103min HA=307 门户title=[]
[14:06:11] t=104min HA=307 门户title=[]
[14:07:12] t=105min HA=307 门户title=[]
[14:08:13] t=106min HA=307 门户title=[]
[14:09:14] t=107min HA=307 门户title=[]
[14:10:15] t=108min HA=307 门户title=[]
[14:11:16] t=109min HA=307 门户title=[]
[14:12:17] t=110min HA=307 门户title=[]
[14:13:18] t=111min HA=307 门户title=[]
[14:14:18] t=112min HA=307 门户title=[]
[14:15:18] t=113min HA=307 门户title=[]
[14:16:18] t=114min HA=307 门户title=[]
[14:17:18] t=115min HA=307 门户title=[]
[14:18:18] t=116min HA=307 门户title=[]
[14:19:19] t=117min HA=307 门户title=[]
[14:20:20] t=118min HA=307 门户title=[]
[14:21:21] t=119min HA=307 门户title=[]
[14:22:22] t=120min HA=307 门户title=[]
[14:23:24] t=121min HA=307 门户title=[]
[14:24:24] t=122min HA=307 门户title=[]
[14:25:25] t=123min HA=307 门户title=[]
[14:26:26] t=124min HA=307 门户title=[]
[14:27:28] t=125min HA=307 门户title=[]
[14:28:29] t=126min HA=307 门户title=[]
[14:29:30] t=127min HA=307 门户title=[]
[14:30:31] t=128min HA=307 门户title=[]
[14:31:32] t=129min HA=307 门户title=[]
[14:32:33] t=130min HA=307 门户title=[]
[14:33:34] t=131min HA=307 门户title=[]
[14:34:35] t=132min HA=307 门户title=[]
[14:35:36] t=133min HA=307 门户title=[]
[14:36:38] t=134min HA=307 门户title=[]
[14:37:39] t=135min HA=307 门户title=[]
[14:38:40] t=136min HA=307 门户title=[]
[14:39:41] t=137min HA=307 门户title=[]
[14:40:42] t=138min HA=307 门户title=[]
[14:41:44] t=139min HA=307 门户title=[]
[14:42:45] t=140min HA=307 门户title=[]
[14:43:47] t=141min HA=307 门户title=[]
[14:44:48] t=143min HA=307 门户title=[]
[14:45:49] t=144min HA=307 门户title=[]
[14:46:50] t=145min HA=307 门户title=[]
[14:47:51] t=146min HA=307 门户title=[]
[14:48:53] t=147min HA=307 门户title=[]
[14:49:54] t=148min HA=307 门户title=[]
[14:50:55] t=149min HA=307 门户title=[]
[14:51:57] t=150min HA=307 门户title=[]
[14:52:58] t=151min HA=307 门户title=[]
[14:52:58] 150min 窗口结束，向导未上线
[14:52:58] watch2 退出
[16:58:12] 全新镜像解压（干净 e2e）
[16:58:30] QEMU 启动 pid=414
[16:58:30] t=0min HA=000 门户title=[]
[16:59:30] t=1min HA=000 门户title=[]
[17:00:31] t=2min HA=302 门户title=[]
[17:01:31] t=3min HA=302 门户title=[]
[17:02:31] t=4min HA=302 门户title=[]
[17:03:32] t=5min HA=302 门户title=[]
[17:04:32] t=6min HA=302 门户title=[]
[17:05:32] t=7min HA=000 门户title=[]
[17:06:32] t=8min HA=302 门户title=[]
[17:07:32] t=9min HA=302 门户title=[]
[17:08:32] t=10min HA=302 门户title=[]
[17:09:32] t=11min HA=302 门户title=[]
[17:10:32] t=12min HA=302 门户title=[]
[17:11:33] t=13min HA=307 门户title=[]
[17:12:33] t=14min HA=307 门户title=[]
[17:13:33] t=15min HA=307 门户title=[]
[17:14:33] t=16min HA=307 门户title=[]
[17:15:33] t=17min HA=307 门户title=[]
[17:16:33] t=18min HA=307 门户title=[]
[17:17:33] t=19min HA=307 门户title=[]
[17:18:33] t=20min HA=307 门户title=[]
[17:19:33] t=21min HA=307 门户title=[]
[17:20:33] t=22min HA=307 门户title=[]
[17:21:33] t=23min HA=307 门户title=[]
[17:22:33] t=24min HA=307 门户title=[]
[17:23:33] t=25min HA=307 门户title=[]
[17:24:33] t=26min HA=307 门户title=[]
[17:25:33] t=27min HA=307 门户title=[]
[17:26:33] t=28min HA=307 门户title=[]
[17:27:33] t=29min HA=307 门户title=[]
[17:28:33] t=30min HA=307 门户title=[]
[17:29:33] t=31min HA=307 门户title=[]
[17:30:34] t=32min HA=307 门户title=[]
[17:31:34] t=33min HA=307 门户title=[]
[17:32:34] t=34min HA=307 门户title=[]
[17:33:34] t=35min HA=307 门户title=[]
[17:34:34] t=36min HA=307 门户title=[]
[17:35:34] t=37min HA=307 门户title=[]
[17:36:34] t=38min HA=307 门户title=[]
[17:37:34] t=39min HA=307 门户title=[]
[17:38:34] t=40min HA=307 门户title=[]
[17:39:34] t=41min HA=307 门户title=[]
[17:40:34] t=42min HA=307 门户title=[]
[17:41:34] t=43min HA=307 门户title=[]
[17:42:34] t=44min HA=307 门户title=[]
[17:43:34] t=45min HA=307 门户title=[]
[17:44:34] t=46min HA=307 门户title=[]
[17:45:34] t=47min HA=307 门户title=[]
[17:46:34] t=48min HA=307 门户title=[]
[17:47:34] t=49min HA=307 门户title=[]
[17:48:34] t=50min HA=307 门户title=[]
[17:49:34] t=51min HA=307 门户title=[]
[17:50:34] t=52min HA=307 门户title=[]
[17:51:34] t=53min HA=307 门户title=[]
[17:52:34] t=54min HA=307 门户title=[]
[17:53:34] t=55min HA=307 门户title=[]
[17:54:34] t=56min HA=307 门户title=[]
[17:55:34] t=57min HA=307 门户title=[]
[17:56:34] t=58min HA=307 门户title=[]
[17:57:34] t=59min HA=307 门户title=[]
[17:58:34] t=60min HA=307 门户title=[]
[17:59:34] t=61min HA=307 门户title=[]
[18:00:34] t=62min HA=307 门户title=[]
[18:01:34] t=63min HA=307 门户title=[]
[18:02:35] t=64min HA=307 门户title=[]
[18:03:35] t=65min HA=307 门户title=[]
[18:04:35] t=66min HA=307 门户title=[]
[18:05:35] t=67min HA=307 门户title=[]
[18:06:35] t=68min HA=307 门户title=[]
